provincia;ccaa
Almería;ANDALUCÍA
Cádiz;ANDALUCÍA
Córdoba;ANDALUCÍA
Granada;ANDALUCÍA
Huelva;ANDALUCÍA
Jaén;ANDALUCÍA
Málaga;ANDALUCÍA
Sevilla;ANDALUCÍA
Huesca;ARAGÓN
Teruel;ARAGÓN
Zaragoza;ARAGÓN
Las Palmas;CANARIAS
Santa Cruz de Tenerife;CANARIAS
Cantabria;CANTABRIA
Albacete;CASTILLA - LA MANCHA
Ciudad Real;CASTILLA - LA MANCHA
Cuenca;CASTILLA - LA MANCHA
Guadalajara;CASTILLA - LA MANCHA
Toledo;CASTILLA - LA MANCHA
Ávila;CASTILLA Y LEÓN
Burgos;CASTILLA Y LEÓN
León;CASTILLA Y LEÓN
Palencia;CASTILLA Y LEÓN
Salamanca;CASTILLA Y LEÓN
Segovia;CASTILLA Y LEÓN
Soria;CASTILLA Y LEÓN
Valladolid;CASTILLA Y LEÓN
Zamora;CASTILLA Y LEÓN
Barcelona;CATALUÑA
Girona;CATALUÑA
Lleida;CATALUÑA
Tarragona;CATALUÑA
Ceuta;CEUTA
Madrid;COMUNIDAD DE MADRID
Navarra;COMUNIDAD FORAL DE NAVARRA
Alicante;COMUNIDAD VALENCIANA
Castellón;COMUNIDAD VALENCIANA
Valencia;COMUNIDAD VALENCIANA
Badajoz;EXTREMADURA
Cáceres;EXTREMADURA
A Coruña;GALICIA
Lugo;GALICIA
Ourense;GALICIA
Pontevedra;GALICIA
Islas Baleares;ISLAS BALEARES
La Rioja;LA RIOJA
Melilla;MELILLA
Álava;PAÍS VASCO
Gipuzkoa;PAÍS VASCO
Bizkaia;PAÍS VASCO
Asturias;PRINCIPADO DE ASTURIAS
Murcia;REGIÓN DE MURCIA
