"","model","RMSE","MAE"
"1","avNNet",104.177567168807,73.397841490847
"2","bartMachine",NA,NA
"3","BstLm",73.3310617393417,42.1209015905325
"4","bstTree",71.8402952996191,40.115245109048
"5","cforest",72.0555905559834,39.9678284913821
"6","ctree",73.530132590279,41.5391622169662
"7","ctree2",73.6495756049079,41.9944750156173
"8","earth",73.6112234596902,41.5732730117358
"9","evtree",73.7731589546763,41.9796837110739
"10","gbm",72.4756311912883,40.819303646797
"11","gcvEarth",74.0165226624008,42.0622211775334
"12","glm",68.97822853727,41.9956955143612
"13","glm.nb",NA,NA
"14","glmStepAIC",73.4652717029232,42.3815292026204
"15","kernelpls",73.5319870553744,42.0960496718033
"16","kknn",76.1415733396718,42.8904883026273
