HY_id|HY_cod_postal|HY_provincia|HY_descripcion|HY_distribucion|HY_tipo|HY_antiguedad|HY_metros_utiles|HY_metros_totales|HY_num_banos|HY_cert_energ|HY_num_terrazas|HY_ascensor|HY_trastero|HY_num_garajes|HY_precio|HY_precio_anterior|IDEA_area|IDEA_poblacion|IDEA_densidad|IDEA_pc_1960|IDEA_pc_1960_69|IDEA_pc_1970_79|IDEA_pc_1980_89|IDEA_pc_1990_99|IDEA_pc_2000_10|IDEA_pc_comercio|IDEA_pc_industria|IDEA_pc_oficina|IDEA_pc_otros|IDEA_pc_residencial|IDEA_pc_trast_parking|IDEA_ind_tienda|IDEA_ind_turismo|IDEA_ind_alimentacion|IDEA_ind_riqueza|IDEA_rent_alquiler|IDEA_ind_elasticidad|IDEA_ind_liquidez|IDEA_unitprice_sale_residential|IDEA_price_sale_residential|IDEA_stock_sale_residential|IDEA_demand_sale_residential|IDEA_unitprice_rent_residential|IDEA_price_rent_residential|IDEA_stock_rent_residential|IDEA_demand_rent_residential|GA_page_views|GA_mean_bounce|GA_exit_rate|GA_quincena_ini|GA_quincena_ult
6028522|46600|Valencia|Plaza de garaje situada en la Gran Vía de la Comunidad Valenciana, municipio de Alzira, provincia de Valencia. Dispone de una superficie aproximada entre 10 m² y 35 m².||Garaje||16.62|22.26|0||0|0|0|0|5000|6200|62.22|844|13.57|0|0|0|0.32|0|0.68|0|0|0|0.02|0.12|0.85|1|0|0|0.16||||1095.88|108390|21|48.34||||0|52|17.71|22.5|12|45
6028548|46119|Valencia|Vivienda de tres dormitorios y dos baños, situada en el municipio de Náquera, provincia de Valencia.  Se encuentra ubicada en la primera planta de un edificio de dos alturas sobre rasante, no dispone de ascensor.Se distribuye en salón, cocina, tres dormitorios, hall y dos baños.  El piso cuenta con carpintería de madera barnizada, ventanas de aluminio, cocina amueblada, baños completos y en buen estado.  La vivienda se encuentra muy bien ubicada, en su cercanía se encuentran todo tipo de servicios, tales como, colegios, servicios de salud, estación de autobuses.|Se distribuye en salón, cocina, tres dormitorios, hall y dos baños.|Piso|1973|106|127|2||0|0|0|0|46900|51600|112.47|958|8.52|0.07|0.07|0.14|0.1|0.08|0.55|0.01|0|0|0.09|0.43|0.47|0|0|1|0.15|5.47|1.5|0|948.99|146658.39|1284|50.09|5.5|761.92|84|52.37|852|36.71|11.99|1|47
6028571|43500|Tarragona|Piso de cuatro dormitorios y un cuarto de baño en la segunda planta de un edificio de cinco alturas sobre rasante, que dispone de ascensor. Está situado en el municipio de Tortosa, provincia de Tarragona.La vivienda está distribuida en cuatro dormitorios, un cuarto de baño, salón-comedor, cocina y terraza exterior.Cuenta con ventanas correderas de aluminio, persianas de plástico, carpintería interior de madera, pintura lisa y solados de plaqueta, todo ello en buen estado de conservación. Edificio residencial de viviendas con bajos comerciales construido hace aproximadamente cuarenta años.Se encuentra en el centro de una zona residencial, rodeado por viviendas de similares características. Cuenta con fácil acceso por carretera, próximo a las zonas tranquilas de la localidad. A su alrededor podemos encontrar supermercados, colegios, hoteles y restaurantes.|La vivienda está distribuida en cuatro dormitorios, un cuarto de baño, salón-comedor, cocina y terraza exterior, encontrándose en buen estado de conservación.|Piso|1976|87.82|109.78|1|E|0|1|0|0|57700|63400|58.89|608|10.33|0.16|0.16|0.14|0.08|0.24|0.22|0.02|0|0|0.04|0.51|0.43|0|1|0|0.14|4.99|||932.56|142926.56|132|49.68|4.79|350|3|0|359|28.33|17.99|1|47
6028627|04741|Almería|Piso de tres dormitorios y dos baños. Se encuentra situado en el Edificio Mariola, de cinco alturas, de obra nueva, que dispone de ascensor, ubicado en la localidad de Cortijos de Marín, perteneciente al término municipal de Roquetas de Mar, provincia de Almería.La vivienda se distribuye en vestíbulo, cocina, lavadero, salón-comedor, tres dormitorios y dos baños. Cuenta con puerta de entrada blindada, carpintería exterior de aluminio lacado blanco, ventanas correderas con doble acristalamiento climalit y persianas en pvc. Cocina y baños con paredes alicatadas. Pintura plástica en gotelé y lisa en techos. Suelos de gres. Carpintería interior en madera Sapelly barnizada en su color y puerta de cocina y salón con cristalera. Cocina independiente sin amueblar. Baños completos con bañera. Dispone de preinstalación de aire acondicionado y termo eléctrico.  Se encuentra en una zona con buenos accesos por carretera, rodeado de viviendas de las mismas características, situado cerca de la costa.Zona tranquila que dispone de pequeños comercios, restaurantes, colegios.|La vivienda se distribuye en vestíbulo, cocina, lavadero, salón-comedor, tres dormitorios y dos baños.|Piso|2008|85.81|114.16|2|E|0|1|0|0|61200|67300|||||||||||||||||||||||||||||||39|14.29|10.87|16|44
6028629|04741|Almería|Piso de tres dormitorios y dos baños. Se encuentra situado en el Edificio Mariola, de cinco alturas, de obra nueva, que dispone de ascensor, ubicado en la localidad de Cortijos de Marín, perteneciente al término municipal de Roquetas de Mar, provincia de Almería.La vivienda se distribuye en vestíbulo, cocina, lavadero, salón-comedor, tres dormitorios y dos baños. Cuenta con puerta de entrada blindada, carpintería exterior de aluminio lacado blanco, ventanas correderas con doble acristalamiento climalit y persianas en pvc. Cocina y baños con paredes alicatadas. Pintura plástica en gotelé y lisa en techos. Suelos de gres. Carpintería interior en madera Sapelly barnizada en su color y puerta de cocina y salón con cristalera. Cocina independiente sin amueblar. Baños completos con bañera. Dispone de preinstalación de aire acondicionado y termo eléctrico.  Se encuentra en una zona con buenos accesos por carretera, rodeado de viviendas de las mismas características, situado cerca de la costa.Zona tranquila que dispone de pequeños comercios, restaurantes, colegios.|La vivienda se distribuye en vestíbulo, cocina, lavadero, salón-comedor, tres dormitorios y dos baños.|Piso|2008|85.51|114.16|2|E|0|1|0|0|61200|67300|989.5|10648|10.76|0|0|0.12|0.13|0.23|0.51|0.03|0|0|0.03|0.58|0.35|0.2|0.6|0.2|0.2|6.73|3|-1|697.2|80227.29|1248|49.97|4.59|463.5|27|51.67|79|0|16.91|6|43
6028637|30740|Murcia|Piso de tres dormitorios y un baño. Ubicado en un edificio plurifamiliar de tres alturas, situado en el municipio de San Pedro del Pinatar, provincia de Murcia.La vivienda se distribuye en cocina, salón-comedor, tres dormitorios y un baño. Cuenta con puerta de entrada normal. Cocina y baños con paredes alicatadas. Carpintería interior en madera. Suelos de gres y tarima. Carpintería exterior de aluminio lacado blanco, ventanas correderas y persianas en pvc.La vivienda se encuentra en una zona residencial rodeada de viviendas de las mismascaracterísticas.Zona tranquila, a pocos metros del centro histórico, rodeado de comercios, colegios, centrode salud.|La vivienda se distribuye en cocina, salón-comedor, tres dormitorios y un baño.|Piso|1981|90|121.94|1||0|0|0|0|86700|96300|1239.74|16979|13.7|0.06|0.06|0.13|0.17|0.2|0.37|0.03|0|0.01|0.05|0.48|0.42|0.56|0.11|0.33|0.16|3.84|4|0|1201.12|141867.53|2601|48.93|4.8|442.73|54|52.63|261|20.41|11.47|1|47
6028942|04740|Almería|Piso de dos dormitorios y un baño. Se encuentra situado en un edificio de obra nueva de tres alturas, que dispone de ascensor, ubicado en municipio de Roquetas de Mar, provincia de Almería.La vivienda se distribuye enhall, cocina, salón-comedor, dos dormitorios y un baño. Cuenta con puerta de entrada normal, carpintería exterior de aluminio lacado, ventanas correderas con acristalamiento climalit y persianas de pvc. Cocina sin amueblar. Baño completo. Paredes alicatadas en cocina y baño. Suelos de gres. Carpintería interior en madera. Se encuentra en una zona con buenos accesos por carretera, rodeado de viviendas de las mismas características, situado cerca del centro histórico.Zona tranquila, con nivel alto de servicios tales como comercios, centro de salud, colegios, institutos.|La vivienda se distribuye en hall, cocina, salón-comedor, dos dormitorios y un baño.|Piso|2008|72.42|81.99|1|E|0|1|0|0|46500|51100|989.5|10648|10.76|0|0|0.12|0.13|0.23|0.51|0.03|0|0|0.03|0.58|0.35|0.2|0.6|0.2|0.2|6.73|3|-1|697.2|80227.29|1248|49.97|4.59|463.5|27|51.67|482|17.88|11.12|1|47
6028999|04740|Almería|Plaza de garaje situada en la planta sótano dentro de un edificio de tres alturas, promoción de obra nueva, ubicado en el municipio de Roquetas de Mar, provincia de Almería.||Garaje|2008|12.83|12.83|0||0|0|0|0|6900|10500|989.5|10648|10.76|0|0|0.12|0.13|0.23|0.51|0.03|0|0|0.03|0.58|0.35|0.2|0.6|0.2|0.2|6.73|3|-1|697.2|80227.29|1248|49.97|4.59|463.5|27|51.67|56|6.67|7.21|9|45
6029035|08303|Barcelona|Piso con tres dormitorios, baño y terraza en la tercera planta alta de edificio de seis plantas sin ascensor.Situado en el municipio de Mataró, en la provincia de Barcelona.Se distribuye en pasillo, cocina, tres dormitorios, aseo, lavadero y comedor-estar con terraza.Cuenta con carpintería exterior en aluminio con vidrio doble. La carpintería interior en madera barnizada. Los suelos son de gres con yeso pintado en paredes y techos. Dispone de agua caliente y gas ciudad.Vivienda unifamiliar en edificio plurifamiliar rodeado de edificaciones de similar tipología.Se ubica en zona céntrica del municipio, con grandes superficies comerciales y de ocio, a 3 kilómetros de la zona costera y a 30 kilómetros de Barcelona capital.|Se distribuye en pasillo, cocina, tres dormitorios, aseo, lavadero y comedor-estar con terraza.|Piso|1970|52.39|66|1|E|0|0|0|0|104000||46.05|12978|281.85|0.07|0.07|0.41|0.14|0.13|0.18|0.06|0.01|0|0.01|0.63|0.29|0.5|0|0.5|0.21|6|3|0|1501.55|204214.06|1023|49.78|9.05|747.25|99|52.29|45|22.36|31.55|14|46
6029036|43540|Tarragona|Piso de tres dormitorios y dos baños en la tercera planta de un edificio de cuatro alturas, que no dispone deascensor. Está situado en el municipio de San Carlos de la Rapita, provincia de Tarragona.La vivienda consta de salón comedor, tres dormitorios, dos baños, cocina independiente y terraza.Cuenta con carpintería interior de madera, suelos de plaqueta y ventanas correderas de aluminio.Edificio adosado de cuatro alturas con una antigüedad aproximada de cuarenta años.Ubicado a pocos minutos de la Avenida de la Constitución y el puerto deportivo, donde cuenta con todos los servicios necesarios a su alcance.|La vivienda consta de salón comedor, tres dormitorios, dos baños, cocina independiente y terraza.|Piso|1974|75.2|99.09|2|E|0|0|0|0|60700|66800|64.52|2622|40.64|0.26|0.26|0.2|0.1|0.07|0.11|0.06|0|0.01|0.02|0.59|0.32|0.33|0.67|0|0.11|9.36|||963.52|106020.35|771|49.37|13.29|1462.5|33|50.43|509|11.11|7.57|1|47
