HY_id,conteo
6028499,5
6028500,3
6028502,10
6028512,2
6028513,2
6028514,9
6028515,7
6028520,7
6028522,5
6028523,5
6028526,1
6028527,1
6028529,1
6028530,1
6028531,2
6028533,8
6028534,10
6028536,2
6028539,5
6028541,10
6028544,10
6028545,9
6028547,10
6028548,7
6028567,2
6028571,10
6028575,5
6028582,6
6028585,8
6028586,7
6028590,10
6028594,10
6028600,10
6028601,10
6028625,10
6028626,10
6028627,10
6028628,10
6028629,10
6028630,10
6028631,10
6028637,7
6028639,10
6028640,10
6028643,2
6028645,5
6028648,9
6028649,6
6028650,7
6028651,8
6028652,9
6028653,9
6028655,9
6028656,9
6028657,8
6028664,5
6028682,10
6028683,7
6028708,4
6028710,1
6028712,1
6028713,1
6028715,1
6028717,1
6028723,1
6028726,1
6028727,1
6028732,1
6028734,1
6028735,1
6028910,4
6028916,4
6028917,4
6028919,10
6028920,10
6028921,10
6028922,10
6028923,10
6028924,10
6028926,4
6028927,4
6028928,7
6028929,7
6028930,7
6028931,7
6028932,6
6028940,2
6028941,2
6028942,7
6028943,7
6028944,8
6028945,9
6028946,8
6028947,4
6028951,10
6028952,10
6028953,10
6028954,10
6028955,10
6028956,10
6028957,10
6028974,2
6028975,2
6028976,2
6028977,2
6028978,2
6028979,2
6028980,2
6028983,7
6028984,7
6028985,8
6028986,7
6028987,7
6028988,7
6028989,7
6028994,7
6028995,7
6028997,10
6028998,6
6028999,2
6029000,10
6029002,6
6029020,10
6029031,2
6029032,9
6029034,4
6029035,5
6029036,5
6029037,4
6029045,9
6029048,10
6029049,10
6029051,4
6029052,7
6029053,6
6029059,4
6029060,9
6029062,10
6029063,10
6029064,9
6029065,10
6029066,7
6029067,10
6029068,5
6029069,7
6029071,6
6029072,1
6029073,9
6029075,9
6029076,10
6029090,10
6029111,7
6029124,4
6029125,9
6029130,7
6029132,8
6029144,10
6029145,10
6029154,10
6029155,7
6029156,7
6029157,10
6029158,9
6029159,3
6029160,4
6029164,8
6029166,6
6029169,1
6029170,4
6029171,4
6029182,5
6029183,3
6029184,10
6029185,10
6029186,10
6029188,10
6029190,8
6029191,10
6029193,10
6029195,10
6029198,2
6029199,6
6029201,5
6029202,4
6029207,7
6029208,8
6029210,7
6029212,9
6029214,10
6029216,8
6029217,9
6029218,10
6029220,7
6029221,3
6029222,10
6029223,10
6029224,10
6029228,10
6029229,10
6029230,8
6029231,7
6029233,4
6029240,7
6029241,9
6029243,1
6029244,1
6029245,1
6029246,1
6029247,1
6029249,1
6029254,2
6029261,2
6029273,2
6029275,1
6029276,3
6029283,1
6029292,1
6029293,1
6029308,10
6029313,2
6029316,4
6029317,4
6029318,4
6029320,4
6029321,9
6029322,1
6029323,1
6029324,3
6029381,3
6029382,3
6029383,2
6029385,4
6029387,4
6029400,2
6029421,6
6029424,7
6029427,7
6029429,7
6029430,7
6029433,7
6029436,10
6029437,10
6029438,10
6029466,7
6029476,1
6029492,3
6029493,3
6029494,3
6029495,3
6029496,3
6029512,10
6029514,10
6029525,4
6029528,4
6029530,6
6029531,5
6029534,10
6029537,7
6029562,10
6029572,3
6029577,1
6029593,3
6029597,4
6029600,1
6029626,10
6029627,10
6029633,9
6029634,10
6029648,2
6029649,6
6029650,3
6029661,6
6029669,5
6029670,8
6029674,8
6029678,6
6029681,3
6029683,3
6029684,10
6029691,5
6029692,6
6029694,7
6029699,8
6029701,5
6029702,1
6029703,1
6029704,1
6029705,1
6029706,1
6029707,1
6029710,1
6029740,1
6029742,1
6029772,8
6029794,3
6029812,10
6029814,5
6029816,10
6029817,10
6029818,10
6029820,10
6029821,10
6029822,10
6029823,10
6029833,7
6029835,2
6029836,10
6029837,10
6029838,10
6029839,10
6029840,10
6029841,10
6029842,10
6029844,10
6029848,10
6029859,10
6029868,5
6029872,9
6029875,9
6029876,8
6029877,10
6029879,2
6029880,3
6029881,1
6029882,1
6029884,2
6029885,10
6029887,4
6029899,3
6029900,3
6029901,2
6029902,2
6029903,2
6029904,2
6029905,2
6029907,2
6029908,2
6029909,2
6029910,2
6029911,2
6029914,2
6029916,1
6029918,1
6029949,10
6029996,9
6030021,5
6030022,5
6030023,5
6030024,5
6030029,5
6030030,5
6030032,5
6030035,4
6030061,3
6030062,3
6030067,3
6030068,3
6030121,1
6030158,7
6030159,4
6030160,5
6030161,9
6030162,3
6030165,10
6030166,3
6030167,7
6030169,4
6030201,10
6030218,6
6030219,7
6030220,7
6030221,7
6030222,7
6030224,7
6030226,3
6030227,4
6030229,10
6030230,8
6030232,3
6030233,6
6030234,7
6030236,4
6030237,8
6030238,6
6030239,5
6030242,5
6030243,3
6030246,9
6030247,4
6030248,3
6030249,6
6030252,4
6030253,5
6030255,3
6030260,10
6030265,2
6030266,1
6030275,7
6030276,7
6030277,7
6030278,7
6030279,7
6030284,4
6030285,5
6030286,4
6030287,3
6030294,2
6030295,6
6030296,2
6030297,3
6030299,9
6030304,5
6030313,7
6030315,4
6030317,6
6030318,9
6030319,6
6030320,7
6030321,10
6030323,7
6030324,1
6030326,3
6030327,1
6030329,10
6030330,4
6030331,10
6030334,4
6030335,4
6030337,3
6030340,6
6030343,4
6030344,5
6030346,3
6030350,3
6030351,5
6030353,1
6030358,1
6030359,1
6030361,3
6030364,4
6030365,6
6030374,3
6030376,8
